comment_Text,Have_ValueViolation
"I am crying . Bought and paid the app.and don't work on my Kindle fire HD 10.From some time the app shows invalid file when trying to open almost any PDF, I used to love the app and reinstalled hoping they fixed the problem, but still it doesn't work",Yes
"downloaded and deleted because I faces problem in the dificult  layout. And also I got problem like this "" invalid file when trying to open"". Can you please fix this. Bothering me bro",Yes
"From some time the app shows invalid file when trying to open almost any PDF, I used to love the app and reinstalled hoping they fixed the problem, it doesn't work",Yes
this is bothering me.i cant make a call on wifi.Also I wish only needed Wi-Fi to call not text.,Yes
"Takes some figuring out, but its free.I HATE THE APP U HAVE TO GET CREDITS FOR STUPID OFFERS THAT DOSENT WORK ITS A WASTE OF TIME ",Yes
"I was unable to figure out how to use, I think I will not use this app .",Yes
Fun way to connect with my granddaughter. And I was unable to figure out how to use. I am sad for it .,Yes
Awesomesauce when you have wifi but not working on data . And also I was unable to figure out how to use. ,Yes
I don�t like this app  . not easy to use.I was unable to make the simplest edit to my PDF,Yes
Useless. I was unable to make the simplest edit to my PDF. Wish I could get my money back but Amazon makes it impossible.,Yes
I installed this app and that's as far as I got. Every time I tried to open it it would crash then tell me an unknown error occurred. Uninstalled and reinstalled a few times but never got it to even open.  Can't say if I liked it or not because I never got to try it.,Yes
"Found it difficult to use, and I think I can't make an account",Yes
i use this quite often. We need the update verion because save buttton is not working. And also the layout is bothering me.,Yes
"If I could give it less stars, I would Does not work on Samsung Galaxy Note 8. Email to developer does not work. Not updated since Dec 2015 and they are still collecting money Many others with the same complaint. If you risk buying this program, I'd recommend trying to email the developer first to ensure you can get support in case it doesn't work. Otherwise, avoid this product.",Yes
"I got a new tablet with Marshmallow.  Apparently the app has been abandoned, because I get ""invalid file"" every time I try to read a file into the app.  This is not just a tablet problem, because I just checked my phone that has Marshmallow, and that also gives the same message.i think it will not work for me anymore.",Yes
"App doesn't work. It hasn't for the longest time, over 12 months. Not maintained by developer and no response to crash reports. Invalid email and no WEB SITE. I'm on Android 8.0 Oreo on HTC 10 unlocked. Been over 12 months I tried, gave it a chance with new update to OS.. no luck, it still sucks. UNINSTALL ASAP. i think it will not work for me in the future also",Yes
