category,Tilte,Base_Reviews
security,Don't work.,"I am crying . Bought and paid the app.and don't work on my Kindle fire HD 10.From some time the app shows invalid file when trying to open almost any PDF, I used to love the app and reinstalled hoping they fixed the problem, but still it doesn't work"
security,Never used it,"downloaded and deleted because I faces problem in the dificult  layout. And also I got problem like this "" invalid file when trying to open"". Can you please fix this. Bothering me bro"
security,Now it doesn't work,"From some time the app shows invalid file when trying to open almost any PDF, I used to love the app and reinstalled hoping they fixed the problem, it doesn't work"
security,not comfortable  ,this is bothering me.i cant make a call on wifi.Also I wish only needed Wi-Fi to call not text.
stimulation,not working bro,"Takes some figuring out, but its free.I HATE THE APP U HAVE TO GET CREDITS FOR STUPID OFFERS THAT DOSENT WORK ITS A WASTE OF TIME "
self direction,Can't. Use,"I was unable to figure out how to use, I think I will not use this app ."
self direction,sad ,Fun way to connect with my granddaughter. And I was unable to figure out how to use. I am sad for it .
self direction,doesnÕt work for me need wifi to  call ,Awesomesauce when you have wifi but not working on data . And also I was unable to figure out how to use. 
self direction,OFF Max4,I donÕt like this app  . not easy to use.I was unable to make the simplest edit to my PDF
self direction,Useless application.,Useless. I was unable to make the simplest edit to my PDF. Wish I could get my money back but Amazon makes it impossible.
self direction,Did not work at all on my fire hdx,I installed this app and that's as far as I got. Every time I tried to open it it would crash then tell me an unknown error occurred. Uninstalled and reinstalled a few times but never got it to even open.  Can't say if I liked it or not because I never got to try it.
self direction,Three Stars,"Found it difficult to use, and I think I can't make an account"
security,not working app,i use this quite often. We need the update verion because save buttton is not working. And also the layout is bothering me.
security,I'd recommend trying to email the developer first to ensure you ...,"If I could give it less stars, I would Does not work on Samsung Galaxy Note 8. Email to developer does not work. Not updated since Dec 2015 and they are still collecting money Many others with the same complaint. If you risk buying this program, I'd recommend trying to email the developer first to ensure you can get support in case it doesn't work. Otherwise, avoid this product."
security,I got a new tablet with Marshmallow. Apparently the ...,"I got a new tablet with Marshmallow.  Apparently the app has been abandoned, because I get ""invalid file"" every time I try to read a file into the app.  This is not just a tablet problem, because I just checked my phone that has Marshmallow, and that also gives the same message.i think it will not work for me anymore."
security,I am in fear,"App doesn't work. It hasn't for the longest time, over 12 months. Not maintained by developer and no response to crash reports. Invalid email and no WEB SITE. I'm on Android 8.0 Oreo on HTC 10 unlocked. Been over 12 months I tried, gave it a chance with new update to OS.. no luck, it still sucks. UNINSTALL ASAP. i think it will not work for me in the future also"
security,Warning Will not open on Kindle Fire,Continuously crashes. Cannot open even after restarts. No way to receive refund. Update to report one problem I have found. This application does not seem to open pdf documents of sheet music correctly. Had similar issues with other apps as well (Adobe app works). Other than that I am still happy with the performance of this app.crashed
security,Must have app for .pdf,"Opens .pdf documents way faster than the Adobe app, and more functional as well. This is a must have app if you deal with .pdf documents at all. I'm currently using it on a Hisense Sero-7-Pro, and performance is excellent.EDIT: Update to report one problem I have found. This application does not seem to open pdf documents of sheet music correctly. Had similar issues with other apps as well (Adobe app works). Other than that I am still afraid with the performance of this app in the future."
